AGE,GENDER,EDUCATION,GUESS 1,N,S,GUESS 2,TIME1,TIME2
32,2,3,901,5,1560,901,72,18
24,1,2,902,1,1026,856,105,24
39,1,3,905,10,739,905,19,14
18,1,3,912,5,773,865,108,15
22,1,3,915,1,1708,805,9,40
30,1,4,932,2,473,932,20,15
17,1,3,950,100,1647,950,31,19
20,1,-1,950,5,857,940,76,20
22,1,3,950,100,754,920,154,21
19,2,3,963,2,731,921,70,28
19,1,3,987,50,684,876,12,44
18,-1,-1,1000,2,1154,1300,24,22
57,1,4,1000,100,1030,1200,14,23
22,-1,-1,1000,10,922,1200,13,9
47,2,3,1000,5,1266,1050,8,24
21,2,3,1000,1,1006,1050,19,37
50,1,3,1000,5,1989,1000,55,12
26,2,4,1000,2,964,1000,11,16
23,1,4,1000,1,825,1000,37,24
22,1,3,1000,1,988,1000,19,10
19,1,3,1000,10,1255,1000,37,11
18,1,2,1000,10,737,1000,33,10
17,1,2,1000,50,988,1000,30,21
18,2,3,1000,10,663,900,21,17
59,2,3,1000,10,781,891,34,19
19,2,3,1000,50,761,850,21,13
21,2,3,1000,100,604,750,25,19
54,2,4,1007,10,1092,1070,15,16
27,2,4,1032,1,1399,1100,33,12
50,1,3,1032,5,1191,1032,95,18
21,-1,-1,1042,2,701,1042,28,15
21,2,3,1042,100,862,900,4,10
19,1,3,1067,10,620,889,82,29
20,2,3,1092,5,873,874,77,21
21,1,3,1098,5,1076,1085,19,16
20,2,3,1100,5,1699,1500,44,26
21,1,3,1100,100,1479,1150,69,23
18,2,2,1100,10,1157,1125,40,14
36,1,4,1100,2,654,1100,72,25
28,1,3,1100,5,559,1050,6,24
47,1,4,1100,1,1623,1000,8,17
26,2,4,1108,50,1984,1108,67,22
19,2,3,1111,2,562,700,35,19
18,1,3,1118,2,1001,1118,45,12
25,2,4,1120,5,2174,1240,70,19
75,1,4,1142,100,1071,1140,21,20
18,1,3,1150,100,937,1100,113,9
18,1,3,1155,2,1149,1187,135,70
57,2,3,1164,5,753,1164,29,28
17,1,2,1188,50,2059,1500,115,15
53,2,4,1200,2,2231,2400,34,17
24,1,4,1200,50,2036,1700,27,44
47,2,4,1200,5,1137,1450,50,41
21,1,3,1200,1,622,1200,52,17
18,2,3,1200,5,1169,1200,6,17
18,1,2,1200,2,772,1000,7,19
58,1,3,1219,1,1097,1219,37,13
18,2,3,1220,50,892,900,41,39
61,1,4,1235,2,727,1235,11,17
21,1,2,1235,5,731,1150,14,16
18,1,3,1248,50,982,1444,37,13
65,1,4,1250,100,920,2400,22,24
54,1,3,1250,100,886,1250,24,30
20,1,3,1250,50,1000,1250,5,17
26,1,3,1254,1,1029,1254,76,13
21,2,3,1256,50,2251,1256,102,21
63,-1,-1,1259,10,2210,2966,15,14
19,1,3,1280,50,1159,1250,145,44
69,2,4,1300,100,1927,1712,22,38
18,1,3,1301,50,2261,1401,219,77
20,2,3,1312,5,2093,1500,15,21
52,1,4,1340,1,1229,1340,119,19
20,2,3,1346,10,1833,1346,29,15
40,2,4,1356,5,1625,1400,11,19
50,1,4,1357,2,2410,1357,203,20
25,1,4,1360,50,1690,1400,42,15
49,2,4,1399,50,2044,1399,24,18
20,2,3,1400,2,1163,1400,99,15
18,1,2,1400,2,834,1400,52,38
18,1,3,1430,100,2506,1430,57,33
19,1,3,1452,10,1645,1800,54,22
19,1,3,1465,2,1449,1440,16,17
18,1,2,1500,1,2983,2000,83,35
26,-1,3,1500,5,1222,1500,12,7
22,2,3,1500,2,801,1500,65,7
19,1,3,1500,2,857,1500,57,26
63,1,3,1575,10,1552,1575,93,16
29,2,3,1584,1,1382,1425,19,13
17,1,2,1584,50,1108,1108,36,9
35,1,4,1600,2,2477,1601,6,7
18,2,2,1650,100,1908,1750,33,22
17,1,2,1650,1,1200,1600,38,31
20,2,3,1682,5,2123,2985,8,28
56,2,3,1700,1,1011,4400,34,31
18,2,2,1728,50,1462,1987,59,13
50,2,4,1770,50,3008,1770,61,23
56,1,4,1800,50,1520,1800,135,12
19,1,3,1800,100,1581,1800,68,8
19,-1,-1,1832,5,1307,1511,82,30
25,1,3,1850,1,937,1640,79,9
20,2,3,1876,10,1175,1500,22,9
18,2,3,2000,5,2355,3000,14,16
35,-1,-1,2000,50,1012,2000,14,9
18,2,2,2012,2,3278,2012,8,15
21,1,3,2017,5,2140,2020,109,83
19,1,3,2100,5,2928,2300,94,12
28,1,4,2200,100,2752,3000,44,103
43,1,4,2234,100,1446,2234,21,16
21,2,3,2277,10,4129,2277,134,8
19,1,3,2399,2,1857,2050,103,20
43,2,2,2400,2,3820,2600,17,14
35,1,4,2420,5,4242,4400,34,82
18,1,3,2500,50,3286,3000,38,17
18,1,2,2500,5,1636,2000,15,9
20,2,3,2618,1,3734,2618,119,17
20,1,2,2800,5,2124,2900,61,9
58,2,4,2800,1,1901,2800,23,20
30,2,4,2880,50,5020,3880,61,17
19,-1,-1,2916,50,4537,4537,77,14
20,1,2,3000,2,4000,3000,41,6
18,2,3,3000,2,1722,3000,21,10
52,2,4,3025,2,2113,3025,42,31
47,1,4,3100,100,1572,3100,66,40
54,1,3,3274,1,1749,3269,24,42
23,1,4,3800,50,5731,2000,119,38
18,1,3,4000,2,2906,3800,48,12
21,1,3,4158,100,6027,4158,133,33
58,2,3,4500,2,3011,4500,82,24
17,2,2,10000,1,9683,9999,33,34
